gender,word
Feminine,יד
Feminine,רגל
Masculine,בקבוק
Feminine,מעטפה
Masculine,ראש
Feminine,טלוויזיה
Masculine,מקרר
Masculine,מזגן
Feminine,מכונת כביסה
Masculine,מאוורר
Masculine,מחשב
Both,מטבע
Both,דרך
Both,גרב
Both,סכין
Feminine,בוהן
Masculine,אף
Feminine,חולצה
Masculine,שטיח
Masculine,כובע
Feminine,כף
Feminine,כפפה
Masculine,מטען
Masculine,מכשיר
Masculine,שולחן
Masculine,כיסא
Feminine,כרית
Masculine,וילון
Feminine,שמיכה
Masculine,תיק
Masculine,הר
Masculine,כפר
Masculine,פח
Masculine,נר
Feminine,כורסה
Masculine,פקק
Masculine,נייר
Masculine,ארנק
Masculine,חלון
Feminine,רכבת
Feminine,מכונית
Feminine,שקית
Feminine,אבן
Masculine,קנקן
Masculine,כפתור
Masculine,דף
Feminine,מראה
Masculine,פעמון
Feminine,סוכרייה
Feminine,טבעת
Feminine,מזוודה
Feminine,שרשרת
Masculine,עגיל
Masculine,קיר
Masculine,תקרה
Masculine,חדר
Masculine,מטוס
Masculine,מנעול
Masculine,מפתח
Masculine,טלפון
Feminine,כפית
Feminine,צלחת
Feminine,קערה
Masculine,דשא
Masculine,ים
Masculine,נהר
Masculine,נחל
Masculine,כביש
Feminine,פרה
Masculine,כלב
Masculine,חתול
Masculine,דביבון
Feminine,ציפורן
Feminine,עניבה
Masculine,שיער
Masculine,פצע
Both,צוואר
Feminine,כתף
Masculine,קומקום
Masculine,רחוב
Feminine,מקלדת
Masculine,מעקה
Masculine,וידאו
Masculine,מסך
Feminine,משאבה
Masculine,צעצוע
Masculine,קלף
Masculine,תיאטרון
Masculine,בית ספר
Feminine,נענע
Feminine,קופסה
Both,לשון
Feminine,מטריה
Feminine,שלולית
Masculine,כלי נגינה
Feminine,קייטנה
Feminine,שן
Masculine,עור
Masculine,סדין
Feminine,מנורה
